color,product_name
 Red,"['무드인핸서 마뜨 어보브 패션', '무드인핸서 마뜨 엔비 미']"
 Orange,['무드인핸서 마뜨 크레이브']
 Beige,"['무드인핸서 쉬어 인 더 모먼트', '무드인핸서 쉬어 델리케이트', '무드인핸서 쉬어 스펠 아웃', '무드인핸서 쉬어 엠비언스', '무드인핸서 쉬어 미러라이크', '무드인핸서 마뜨 얼루어', '무드인핸서 마뜨 타임리스']"
 Pink,"['무드인핸서 마뜨 소프트 디맨드', '무드인핸서 마뜨 트루 이매진']"
 Brown,"['무드인핸서 마뜨 타임리스', '무드인핸서 마뜨 플레어']"
 Coral,"['무드인핸서 마뜨 이터널', '무드인핸서 마뜨 크레이브']"
 Purple,"['무드인핸서 마뜨 트루 이매진', '무드인핸서 마뜨 인스퍼레이션']"
 Rose,"['무드인핸서 쉬어 인 더 모먼트', '무드인핸서 쉬어 델리케이트', '무드인핸서 쉬어 스펠 아웃', '무드인핸서 쉬어 엠비언스', '무드인핸서 쉬어 미러라이크', '무드인핸서 마뜨 얼루어', '무드인핸서 마뜨 이터널', '무드인핸서 마뜨 소프트 디맨드']"
 Mauve,"['무드인핸서 쉬어 인 더 모먼트', '무드인핸서 쉬어 델리케이트', '무드인핸서 쉬어 스펠 아웃', '무드인핸서 쉬어 엠비언스', '무드인핸서 쉬어 미러라이크', '무드인핸서 마뜨 얼루어']"
